Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 21;-0.1345488;0.1210495;2.885957;-0.1271217;0.1785628;2.893995;-0.1259976;0.4833684;2.878843;-0.1508087;0.6562055;2.829172;-0.2660041;0.3747308;2.920779;-0.3048762;0.1756528;2.929094;-0.2891852;-0.016567;2.889461;-0.2701814;-0.07969289;2.866833;-0.005441963;0.3731993;2.812645;0.0395804;0.1406897;2.832303;0.05003815;0.3743427;2.672758;0.03810082;0.7381794;2.461863;-0.1937482;0.03501436;2.905086;-0.3089794;-0.2466667;2.993207;-0.1933956;-0.4845172;3.052441;-0.2017352;-0.38257;3.027091;-0.07943131;0.07799451;2.863894;-0.01219197;-0.2487717;2.903529;-0.01375152;-0.4861126;2.998873;-0.04507441;-0.548898;2.955807;9/14/2022 4:05:15 PM
Frame 22;-0.1345488;0.1210495;2.885957;-0.1271217;0.1785628;2.893995;-0.1259976;0.4833684;2.878843;-0.1508087;0.6562055;2.829172;-0.2660041;0.3747308;2.920779;-0.3048762;0.1756528;2.929094;-0.2891852;-0.016567;2.889461;-0.2701814;-0.07969289;2.866833;-0.005441963;0.3731993;2.812645;0.0395804;0.1406897;2.832303;0.05003815;0.3743427;2.672758;0.03810082;0.7381794;2.461863;-0.1937482;0.03501436;2.905086;-0.3089794;-0.2466667;2.993207;-0.1933956;-0.4845172;3.052441;-0.2017352;-0.38257;3.027091;-0.07943131;0.07799451;2.863894;-0.01219197;-0.2487717;2.903529;-0.01375152;-0.4861126;2.998873;-0.04507441;-0.548898;2.955807;9/14/2022 4:05:15 PM
Frame 23;-0.1269413;0.1263627;2.879976;-0.1234654;0.181795;2.89099;-0.1260723;0.4834429;2.879091;-0.1452334;0.6593893;2.827558;-0.2783972;0.4127032;2.94535;-0.2962643;0.171367;2.922729;-0.2685634;-0.01962267;2.858105;-0.2648922;-0.08164047;2.851944;-0.004824562;0.3734035;2.812668;0.0392713;0.1414682;2.832058;0.05058048;0.3739856;2.672574;0.03788083;0.7412229;2.458016;-0.185984;0.04015711;2.898551;-0.08010456;-0.2583327;2.858887;-0.1891126;-0.4460275;3.021897;-0.2010541;-0.3524077;3.015;-0.05760815;0.08985429;2.849343;-0.0120327;-0.2480232;2.903368;-0.0138067;-0.4855893;2.998593;-0.05204979;-0.5476531;2.951548;9/14/2022 4:05:15 PM
Frame 24;-0.1269413;0.1263627;2.879976;-0.1234654;0.181795;2.89099;-0.1260723;0.4834429;2.879091;-0.1452334;0.6593893;2.827558;-0.2783972;0.4127032;2.94535;-0.2962643;0.171367;2.922729;-0.2685634;-0.01962267;2.858105;-0.2648922;-0.08164047;2.851944;-0.004824562;0.3734035;2.812668;0.0392713;0.1414682;2.832058;0.05058048;0.3739856;2.672574;0.03788083;0.7412229;2.458016;-0.185984;0.04015711;2.898551;-0.08010456;-0.2583327;2.858887;-0.1891126;-0.4460275;3.021897;-0.2010541;-0.3524077;3.015;-0.05760815;0.08985429;2.849343;-0.0120327;-0.2480232;2.903368;-0.0138067;-0.4855893;2.998593;-0.05204979;-0.5476531;2.951548;9/14/2022 4:05:15 PM
Frame 25;-0.123406;0.1293265;2.877373;-0.1212794;0.1841536;2.889442;-0.1261211;0.4835635;2.879323;-0.1445353;0.6605388;2.827444;-0.2785262;0.4072088;2.940947;-0.2886836;0.1489339;2.924011;-0.2585991;-0.03683317;2.835506;-0.2587995;-0.09272087;2.829872;-0.004259977;0.3736449;2.812653;0.03852743;0.1419137;2.832431;0.05093388;0.3737079;2.672488;0.03748964;0.72934;2.468181;-0.1826712;0.04358255;2.896623;-0.01493203;-0.2628273;2.817571;-0.2149695;-0.4114456;3.001071;-0.2170881;-0.3205911;2.993325;-0.05320138;0.09215844;2.846156;-0.01295877;-0.2462086;2.902808;-0.01391335;-0.4842042;2.997835;-0.0547944;-0.5468192;2.94913;9/14/2022 4:05:15 PM
Frame 26;-0.123406;0.1293265;2.877373;-0.1212794;0.1841536;2.889442;-0.1261211;0.4835635;2.879323;-0.1445353;0.6605388;2.827444;-0.2785262;0.4072088;2.940947;-0.2886836;0.1489339;2.924011;-0.2585991;-0.03683317;2.835506;-0.2587995;-0.09272087;2.829872;-0.004259977;0.3736449;2.812653;0.03852743;0.1419137;2.832431;0.05093388;0.3737079;2.672488;0.03748964;0.72934;2.468181;-0.1826712;0.04358255;2.896623;-0.01493203;-0.2628273;2.817571;-0.2149695;-0.4114456;3.001071;-0.2170881;-0.3205911;2.993325;-0.05320138;0.09215844;2.846156;-0.01295877;-0.2462086;2.902808;-0.01391335;-0.4842042;2.997835;-0.0547944;-0.5468192;2.94913;9/14/2022 4:05:15 PM
Frame 27;-0.1217902;0.1299446;2.875712;-0.1201105;0.184777;2.888533;-0.1328255;0.4789315;2.883339;-0.13446;0.6391455;2.829599;-0.2863538;0.4363658;2.959534;-0.3126747;0.1725076;2.963666;-0.2807177;-0.01827466;2.857416;-0.2747038;-0.08018054;2.838711;-0.008790773;0.3649335;2.812236;-0.02086609;0.09619401;2.815162;0.01638495;0.3319565;2.669814;0.03388511;0.7217169;2.476775;-0.1801472;0.04505257;2.894322;0.01543032;-0.2634149;2.798773;-0.2070952;-0.3557479;2.99275;-0.2160102;-0.2853616;3.006748;-0.05250167;0.0880475;2.843635;-0.01520932;-0.2471158;2.902009;-0.01391583;-0.4840689;2.997805;-0.02672229;-0.5561807;2.986635;9/14/2022 4:05:15 PM
Frame 28;-0.1076547;0.1276497;2.879561;-0.1044207;0.1870033;2.894305;-0.1375629;0.476675;2.886626;-0.1199287;0.6631747;2.833905;-0.2978276;0.4249566;2.970865;-0.2885549;0.1737735;2.96226;-0.2463545;-0.01332803;2.848827;-0.2300303;-0.08129762;2.815257;-0.002583358;0.3681952;2.813929;0.02127199;0.1358539;2.827589;0.03849114;0.3600049;2.66807;0.0148176;0.3586242;2.692767;-0.1643645;0.0358694;2.903381;-0.2245362;-0.2863068;2.8938;-0.1355014;-0.3109885;3.080782;-0.2023519;-0.2985437;3.017004;-0.03963356;0.07613564;2.847283;-0.01661011;-0.2483161;2.901403;-0.01382578;-0.4846808;2.998156;-0.02085605;-0.5589166;2.990475;9/14/2022 4:05:15 PM
Frame 29;-0.1076547;0.1276497;2.879561;-0.1044207;0.1870033;2.894305;-0.1375629;0.476675;2.886626;-0.1199287;0.6631747;2.833905;-0.2978276;0.4249566;2.970865;-0.2885549;0.1737735;2.96226;-0.2463545;-0.01332803;2.848827;-0.2300303;-0.08129762;2.815257;-0.002583358;0.3681952;2.813929;0.02127199;0.1358539;2.827589;0.03849114;0.3600049;2.66807;0.0148176;0.3586242;2.692767;-0.1643645;0.0358694;2.903381;-0.2245362;-0.2863068;2.8938;-0.1355014;-0.3109885;3.080782;-0.2023519;-0.2985437;3.017004;-0.03963356;0.07613564;2.847283;-0.01661011;-0.2483161;2.901403;-0.01382578;-0.4846808;2.998156;-0.02085605;-0.5589166;2.990475;9/14/2022 4:05:15 PM
Frame 30;-0.118413;0.1193119;2.881752;-0.1116183;0.1806533;2.896086;-0.1372232;0.4772228;2.886752;-0.1187368;0.6667754;2.83411;-0.2729755;0.3983067;2.940348;-0.2843462;0.1642269;2.943589;-0.267775;-0.03339176;2.861093;-0.2478763;-0.09454269;2.828887;-0.0006754518;0.3700951;2.81451;-0.001820795;0.1261668;2.812096;0.02913504;0.3559059;2.661464;-0.0152381;0.3354813;2.689804;-0.1777621;0.03700566;2.902017;-0.2834797;-0.286435;2.912087;-0.1284298;-0.3458982;3.115134;-0.1987745;-0.3115599;3.018318;-0.06231983;0.06610618;2.853347;-0.01674586;-0.2484993;2.901336;-0.01385748;-0.4847544;2.998189;-0.004711597;-0.5571545;2.998115;9/14/2022 4:05:15 PM
