HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.229583,-1.32184,0.84929,-0.273693,-1.31665,1.11732,-0.307368,-1.3064,1.31584,-0.312661,-1.30056,1.49534,-0.449789,-1.26105,1.2657,-0.504791,-1.24486,1.07479,-0.509974,-1.18622,0.851542,-0.501058,-1.17629,0.765074,-0.158981,-1.28022,1.30193,-0.0226216,-1.34744,1.16263,-0.125342,-1.21322,0.999127,-0.132728,-1.19433,0.951715,-0.295197,-1.29346,0.848003,-0.314141,-1.36442,0.578613,-0.309995,-1.45668,0.349973,-0.312566,-1.3435,0.314108,-0.183916,-1.28326,0.853842,-0.101217,-1.21312,0.49981,-0.0959008,-1.15005,0.177237,-0.118825,-1.0648,0.129348
-0.226551,-1.31837,0.850308,-0.26682,-1.31337,1.11779,-0.296821,-1.30368,1.31575,-0.305642,-1.29511,1.49886,-0.43856,-1.25479,1.26798,-0.497659,-1.24134,1.07453,-0.507374,-1.17508,0.851012,-0.494607,-1.16744,0.760914,-0.147303,-1.28187,1.30695,-0.0300517,-1.32896,1.12028,-0.0452282,-1.24616,0.930027,-0.075173,-1.21784,0.859223,-0.29247,-1.28732,0.8487,-0.314112,-1.36244,0.571654,-0.30381,-1.45695,0.338763,-0.304163,-1.343,0.302681,-0.180316,-1.28298,0.854778,-0.107507,-1.22055,0.49459,-0.11557,-1.18066,0.168132,-0.122882,-1.09488,0.118142
-0.218239,-1.28808,0.845518,-0.251299,-1.2843,1.12198,-0.276092,-1.27406,1.32765,-0.281601,-1.2539,1.51317,-0.415665,-1.22933,1.2736,-0.486597,-1.23149,1.07914,-0.503875,-1.16785,0.855181,-0.489937,-1.15496,0.765043,-0.107084,-1.26551,1.29645,-0.0536751,-1.27107,1.1176,-0.0689339,-1.18804,0.899084,-0.0877115,-1.16985,0.829448,-0.285459,-1.26218,0.843308,-0.313263,-1.34359,0.552108,-0.299572,-1.45424,0.314473,-0.297413,-1.33953,0.278084,-0.171092,-1.25378,0.850548,-0.112686,-1.21707,0.483611,-0.118743,-1.17962,0.170261,-0.128217,-1.0944,0.118257
-0.214764,-1.26165,0.842571,-0.245311,-1.25892,1.12434,-0.269552,-1.25105,1.33314,-0.269804,-1.23604,1.51101,-0.404163,-1.21019,1.2852,-0.476932,-1.20866,1.07211,-0.503619,-1.14409,0.849295,-0.499026,-1.12492,0.781542,-0.104595,-1.22669,1.29632,-0.00932847,-1.25974,1.15928,0.0964628,-1.31133,1.04428,0.0866198,-1.30614,1.03125,-0.280781,-1.24106,0.841049,-0.318457,-1.31267,0.542262,-0.300753,-1.4541,0.288666,-0.30368,-1.33846,0.252287,-0.168537,-1.2179,0.846078,-0.119217,-1.20629,0.475758,-0.121074,-1.15843,0.161714,-0.129583,-1.081,0.102754
-0.208397,-1.25091,0.845576,-0.233895,-1.2497,1.1283,-0.253152,-1.24263,1.33814,-0.247865,-1.22462,1.50836,-0.386894,-1.19565,1.28961,-0.468395,-1.20147,1.07002,-0.499663,-1.14073,0.845087,-0.493247,-1.13364,0.778791,-0.0845282,-1.22823,1.29984,0.0338638,-1.28242,1.13959,0.127177,-1.30725,1.00234,0.129687,-1.28136,1.01096,-0.272712,-1.21864,0.845919,-0.322523,-1.2809,0.546927,-0.307331,-1.45107,0.26159,-0.305649,-1.33534,0.225475,-0.164048,-1.21516,0.847716,-0.116543,-1.20475,0.474942,-0.10515,-1.18275,0.165261,-0.128153,-1.09356,0.117802
-0.199929,-1.22512,0.844338,-0.222015,-1.21848,1.12813,-0.239948,-1.20772,1.33859,-0.234514,-1.19325,1.51751,-0.377372,-1.1698,1.29432,-0.464567,-1.17705,1.08484,-0.496793,-1.12321,0.855244,-0.494259,-1.12636,0.778131,-0.0876196,-1.18121,1.30781,0.0513632,-1.24948,1.1403,0.153022,-1.26884,1.005,0.138899,-1.26949,0.992884,-0.268119,-1.20211,0.844329,-0.305764,-1.25783,0.474261,-0.309286,-1.43649,0.246658,-0.296732,-1.42681,0.146263,-0.152111,-1.18655,0.846954,-0.105716,-1.18937,0.471128,-0.104758,-1.18278,0.16515,-0.127156,-1.09487,0.116005
-0.1889,-1.17208,0.845652,-0.207075,-1.1744,1.13247,-0.223519,-1.1718,1.34449,-0.218996,-1.15448,1.51721,-0.367933,-1.11981,1.30217,-0.451876,-1.13833,1.08967,-0.50076,-1.09164,0.860305,-0.502406,-1.10764,0.794263,-0.0569888,-1.13999,1.29346,0.0558445,-1.1989,1.12345,0.153246,-1.18155,0.980877,0.178478,-1.17866,0.891468,-0.257407,-1.14826,0.846473,-0.338807,-1.16751,0.508104,-0.328002,-1.37054,0.241692,-0.329506,-1.25339,0.205697,-0.140715,-1.13324,0.847003,-0.105575,-1.16632,0.471367,-0.120394,-1.15407,0.150394,-0.124648,-1.07462,0.0918014
-0.184776,-1.17168,0.844934,-0.199401,-1.1705,1.13068,-0.210859,-1.1623,1.34156,-0.214652,-1.15252,1.51728,-0.362353,-1.11888,1.30351,-0.447433,-1.1392,1.08927,-0.497329,-1.09785,0.858221,-0.494787,-1.12213,0.796009,-0.0567276,-1.14002,1.29346,0.0555564,-1.19576,1.12474,0.154989,-1.18012,0.982592,0.177417,-1.15301,0.93639,-0.254283,-1.14688,0.845973,-0.324273,-1.14888,0.503307,-0.301143,-1.33829,0.221604,-0.302528,-1.22076,0.184992,-0.135232,-1.13385,0.845988,-0.102105,-1.16393,0.46731,-0.119198,-1.15791,0.151137,-0.122208,-1.08518,0.0872559
-0.203724,-1.16147,0.843727,-0.206307,-1.16215,1.12515,-0.212893,-1.15425,1.33312,-0.208393,-1.14873,1.51574,-0.351277,-1.11291,1.29665,-0.445927,-1.13266,1.09409,-0.494263,-1.10705,0.859306,-0.497046,-1.12786,0.791547,-0.0575119,-1.13905,1.29164,0.0828468,-1.17516,1.10732,0.179257,-1.11065,0.971898,0.195195,-1.11138,0.890614,-0.281499,-1.13497,0.851363,-0.335527,-1.09345,0.520888,-0.308961,-1.28205,0.234404,-0.308714,-1.16411,0.197638,-0.148965,-1.1241,0.839696,-0.0941944,-1.16585,0.465031,-0.115584,-1.19417,0.171101,-0.121971,-1.10524,0.112138
-0.156887,-1.14098,0.846873,-0.182174,-1.13709,1.12885,-0.198165,-1.12637,1.33781,-0.184868,-1.10714,1.51439,-0.341467,-1.07887,1.30412,-0.428998,-1.11842,1.08306,-0.483344,-1.09781,0.879204,-0.502882,-1.10503,0.800069,-0.031477,-1.11773,1.29175,0.0888026,-1.16085,1.10343,0.16969,-1.07339,0.967106,0.182621,-1.01735,0.871614,-0.2294,-1.10384,0.851006,-0.306297,-1.05764,0.490048,-0.304349,-1.24706,0.200714,-0.309707,-1.21241,0.12336,-0.110566,-1.11631,0.844294,-0.088549,-1.163,0.463853,-0.112711,-1.19484,0.170443,-0.11773,-1.11484,0.109931
